time,V2I
288,1313.8789999999995
289,1309.764599999999
290,1321.531999999999
291,1311.821799999999
292,1311.821799999999
293,1312.850399999999
294,1332.270799999999
295,1330.2135999999991
296,1320.5033999999994
297,1325.070599999999
298,1308.1601999999993
299,1306.102999999999
300,1299.478599999999
301,1299.478599999999
302,1308.160199999999
303,1328.609199999999
304,1330.666399999999
305,1341.4051999999992
306,1332.7235999999994
307,1332.7235999999994
308,1324.0419999999995
309,1325.0705999999996
310,1314.3317999999992
311,1332.7235999999994
312,1344.4909999999993
313,1323.0133999999996
314,1305.6501999999998
315,1307.7074
316,1292.4014
317,1293.43
318,1279.1526
319,1265.3280000000002
320,1254.5892000000003
321,1264.2994000000003
322,1242.8218000000004
323,1255.6178000000002
324,1244.8790000000004
325,1235.1688000000004
326,1260.1850000000004
327,1272.9810000000004
328,1293.4300000000005
329,1277.0954000000004
330,1279.1526000000003
331,1285.7770000000005
332,1262.2422000000001
333,1278.5768
334,1268.8666
335,1268.8666
336,1246.3604000000003
337,1258.1278
338,1250.4748000000002
339,1250.4748000000002
340,1239.736
341,1244.8790000000001
342,1254.5892000000001
343,1263.2707999999998
344,1263.2707999999998
345,1264.2993999999999
346,1284.7483999999997
347,1266.3565999999996
348,1279.1525999999992
349,1255.1649999999993
350,1243.3975999999993
351,1248.5405999999994
352,1239.8589999999992
353,1239.8589999999992
354,1247.5119999999993
355,1247.5119999999993
356,1256.1935999999992
357,1256.1935999999992
358,1248.5405999999991
359,1243.9733999999992
