time,Wan up
277,1150.5024
278,1150.5024
279,1151.834
280,1151.834
281,1151.1682
282,1150.5024
283,1151.1682
284,1150.5024
285,1150.5024
286,1149.1708
287,1149.1707999999999
288,1150.5024
289,1150.5024
290,1151.1682
291,1150.5024
292,1150.5024
293,1150.5024
294,1151.834
295,1151.834
296,1151.1682
297,1151.834
298,1151.1681999999998
299,1151.1681999999998
300,1150.5023999999999
301,1150.5023999999999
302,1151.1681999999998
303,1152.4997999999998
304,1152.4997999999998
305,1153.1656
306,1152.4998
307,1152.4998
308,1151.8339999999998
309,1151.834
310,1151.1682
311,1152.4998
312,1153.1656
313,1151.834
314,1150.5024
315,1150.5024
316,1149.1708
317,1149.1708
318,1147.8392000000001
319,1147.1734000000001
320,1146.5076000000001
321,1147.1734000000001
322,1145.8418000000001
323,1146.5076000000001
324,1145.8418000000001
325,1145.1760000000002
326,1147.1734000000001
327,1147.8392000000001
328,1149.1708
329,1147.8392000000001
330,1147.8392000000001
331,1148.5049999999999
332,1147.1734
333,1148.5049999999999
334,1147.8392
335,1147.8392
336,1146.5076
337,1147.1734000000001
338,1146.5076
339,1146.5076
340,1145.8418000000001
341,1145.8418
342,1146.5076000000001
343,1147.1734000000001
344,1147.1734000000001
345,1147.1734000000001
346,1148.505
347,1147.1734000000001
348,1147.8392000000001
349,1145.8418000000001
350,1145.1760000000002
351,1145.1760000000002
352,1144.5102
353,1144.5102
354,1145.1760000000002
355,1145.1760000000002
356,1145.8418
357,1145.8418
358,1145.1760000000002
359,1144.5102000000002
