time,CCTV,V2I
75,1401.2799999999995,619.9714000000001
76,1401.2799999999995,628.6530000000001
77,1401.2799999999995,647.0448000000001
78,1401.28,665.4366000000001
79,1401.28,657.7836000000001
80,1401.28,668.5224000000001
81,1401.28,680.2898
82,1401.28,680.2898
83,1401.28,691.0286
84,1401.28,691.0286
85,1401.28,712.5061999999999
86,1401.28,713.5347999999999
87,1401.28,703.8245999999999
88,1401.28,703.8245999999999
89,1401.28,722.2163999999999
90,1401.28,722.2163999999999
91,1401.28,751.3469999999999
92,1401.28,760.0285999999999
93,1401.28,750.3183999999999
94,1401.28,742.6653999999999
95,1401.2799999999995,764.1429999999999
96,1401.2799999999995,784.5919999999999
97,1401.2799999999995,795.3307999999998
98,1401.2799999999995,805.0409999999998
99,1401.2799999999995,805.0409999999998
100,1401.2799999999995,812.2411999999998
101,1401.28,807.6739999999999
102,1401.28,815.3269999999999
103,1401.28,842.4003999999999
104,1401.28,864.9065999999999
105,1401.28,864.9065999999999
106,1401.28,864.9065999999999
107,1401.28,873.5881999999999
108,1401.28,873.5881999999999
109,1401.28,881.2411999999999
110,1401.2799999999995,893.0085999999998
111,1401.2799999999995,902.7188
112,1401.2799999999995,906.8331999999998
113,1401.2799999999995,904.7759999999998
114,1401.2799999999995,904.7759999999998
115,1401.2799999999995,904.7759999999998
116,1401.2799999999995,925.225
117,1401.2799999999995,925.225
118,1401.2799999999995,940.531
119,1401.2799999999995,940.531
120,1401.2799999999995,950.2412
121,1401.2799999999995,941.5596
122,1401.2799999999995,940.531
123,1401.2799999999995,960.98
124,1401.2799999999995,969.6616
125,1401.2799999999995,962.0086
126,1401.28,971.7188
127,1401.28,964.0658
128,1401.28,972.7474
129,1401.28,980.4004
130,1401.28,991.1392
131,1401.28,991.1392
132,1401.28,998.7922
133,1401.28,1009.531
134,1401.28,1041.7474
135,1401.28,1041.7474
136,1401.28,1043.8046
137,1401.28,1036.1516
138,1401.28,1036.1516
139,1401.28,1044.8331999999998
140,1401.28,1044.8331999999998
141,1401.28,1056.6005999999998
142,1401.28,1056.6005999999998
143,1401.28,1074.9923999999996
144,1401.28,1111.7759999999996
145,1401.28,1094.4127999999998
146,1401.2799999999995,1104.1229999999998
147,1401.28,1115.8903999999998
148,1401.28,1115.8903999999998
149,1401.28,1124.572
150,1401.28,1132.225
151,1401.28,1151.6454
152,1401.28,1168.5558
153,1401.28,1156.7884
154,1401.28,1167.5271999999998
155,1401.28,1185.9189999999996
156,1401.28,1195.6291999999996
157,1401.28,1217.1067999999996
158,1401.28,1226.8169999999996
159,1401.28,1226.8169999999996
160,1401.28,1228.8741999999995
161,1401.28,1248.2945999999995
162,1401.28,1230.9313999999997
163,1401.2799999999995,1214.5967999999998
164,1401.2799999999995,1234.0171999999998
165,1401.28,1235.0457999999996
166,1401.28,1243.7273999999995
167,1401.28,1263.1477999999995
168,1401.28,1263.1477999999993
