time,Cloud,Fog,Wan down,Wan up,WIFI
257,1002.4,0,632.5889999999999,1155.8287999999998,1.5900000000000012
258,1002.4,0,637.732,1155.8288,1.6500000000000012
259,1002.4,0,637.732,1155.8288,1.6500000000000012
260,1002.4,0,640.8178,1155.8288,1.7100000000000013
261,987.7,0,626.4174,1153.8314,1.7100000000000013
262,977.9,0,621.2744,1152.4998,1.7100000000000013
263,973.0,0,617.16,1151.8339999999998,1.7100000000000013
264,973.0,0,617.16,1151.8339999999998,1.7100000000000013
265,977.9,0,621.2744,1152.4997999999998,1.740000000000001
266,977.9,0,621.2744,1152.4997999999998,1.740000000000001
267,982.8,0,624.3602,1153.1655999999998,1.7700000000000014
268,982.8,0,624.3602,1153.1655999999998,1.7700000000000014
269,987.7,0,626.4173999999999,1153.8313999999998,1.8000000000000014
270,987.7,0,624.3601999999997,1153.8313999999998,1.8600000000000012
271,987.7,0,628.4745999999999,1153.8313999999998,1.9200000000000013
272,987.7,0,630.5318,1153.8313999999998,1.9500000000000013
273,973.0,0,616.1314,1151.8339999999998,1.9500000000000013
274,973.0,0,613.0456,1151.8339999999998,1.980000000000001
275,982.8,0,623.3316,1153.1656,2.0400000000000014
276,968.1,0,609.9598,1151.1682,2.0400000000000014
277,963.2,0,603.7882000000001,1150.5024,2.070000000000001
278,963.2,0,600.7024,1150.5024,2.100000000000001
279,973.0,0,609.9598,1151.834,2.1600000000000006
280,973.0,0,612.017,1151.834,2.1900000000000004
281,968.1,0,608.9312000000001,1151.1682,2.1900000000000004
282,963.2,0,603.7882000000001,1150.5024,2.1900000000000004
283,968.1,0,605.8454,1151.1682,2.22
284,963.2,0,601.7310000000001,1150.5024,2.22
285,963.2,0,601.7310000000001,1150.5024,2.22
286,953.4,0,592.4736,1149.1708,2.1900000000000004
287,953.4,0,589.3878000000001,1149.1708,2.22
288,963.2,0,597.6166000000001,1150.5024,2.28
289,963.2,0,593.5022,1150.5024,2.31
290,968.1,0,599.6738,1151.1682,2.3399999999999994
291,963.2,0,595.5594,1150.5024,2.3399999999999994
292,963.2,0,595.5594,1150.5024,2.3399999999999994
293,963.2,0,596.588,1150.5024,2.369999999999999
294,973.0,0,604.8168,1151.834,2.459999999999998
295,973.0,0,602.7596,1151.834,2.4899999999999984
