time,v2i static,v2i dynamic,cctv static,cctv dynamic
23418,0.0,380.3022,0.0,1401.28
23419,0.0,380.3022,0.0,1401.28
23420,0.0,380.3022,0.0,1401.28
23421,0.0,391.041,0.0,1401.28
23422,0.0,383.3880000000001,0.0,1401.28
23423,0.0,396.1840000000001,0.0,1401.28
23424,0.0,398.2412000000001,0.0,1401.2799999999997
23425,0.0,398.2412000000001,0.0,1401.2799999999997
23426,0.0,398.2412000000001,0.0,1401.2799999999997
23427,0.0,406.92280000000005,0.0,1401.2799999999997
23428,0.0,406.92280000000005,0.0,1401.2799999999997
23429,0.0,408.9800000000001,0.0,1401.2799999999997
23430,0.0,408.9800000000001,0.0,1401.2799999999997
23431,0.0,408.9800000000001,0.0,1401.2799999999997
23432,0.0,399.26980000000015,0.0,1401.2799999999997
23433,0.0,399.26980000000015,0.0,1401.2799999999997
23434,0.0,399.26980000000015,0.0,1401.2799999999997
23435,0.0,399.26980000000015,0.0,1401.2799999999997
23436,0.0,390.58820000000003,0.0,1401.2799999999997
23437,0.0,390.58820000000003,0.0,1401.2799999999997
23438,0.0,392.64540000000005,0.0,1401.2799999999997
23439,0.0,392.64540000000005,0.0,1401.2799999999997
23440,0.0,372.19640000000004,0.0,1401.28
23441,0.0,372.19640000000004,0.0,1401.28
23442,0.0,381.9066000000001,0.0,1401.28
23443,0.0,365.57200000000006,0.0,1401.28
23444,0.0,377.33940000000007,0.0,1401.28
23445,0.0,367.6292,0.0,1401.28
23446,0.0,367.6292,0.0,1401.28
23447,0.0,367.6292,0.0,1401.28
23448,0.0,367.6292,0.0,1401.28
23449,0.0,376.31080000000003,0.0,1401.28
23450,0.0,376.31080000000003,0.0,1401.28
23451,0.0,376.31080000000003,0.0,1401.28
23452,0.0,376.31080000000003,0.0,1401.28
23453,0.0,375.28220000000005,0.0,1401.28
23454,0.0,393.67400000000004,0.0,1401.28
23455,0.0,393.67400000000004,0.0,1401.28
23456,0.0,405.44140000000004,0.0,1401.28
23457,0.0,415.15160000000003,0.0,1401.28
23458,0.0,424.8618,0.0,1401.2799999999997
23459,0.0,424.8618,0.0,1401.2799999999997
