time,taxis
75285,173
75286,174
75287,172
75288,174
75289,175
75290,173
75291,171
75292,171
75293,170
75294,168
75295,166
75296,167
75297,168
75298,167
75299,170
75300,170
75301,174
75302,175
75303,174
75304,173
75305,173
75306,174
75307,172
75308,172
75309,173
75310,172
75311,171
75312,171
75313,170
75314,170
75315,169
75316,168
75317,167
75318,167
75319,169
75320,168
75321,167
75322,167
75323,169
75324,170
75325,173
75326,173
75327,174
75328,176
75329,179
75330,179
75331,178
75332,177
75333,179
75334,178
75335,178
75336,178
75337,179
75338,179
75339,176
75340,176
75341,177
75342,178
75343,179
75344,180
75345,179
75346,179
75347,179
75348,178
75349,177
75350,176
75351,174
75352,176
75353,175
75354,174
75355,173
75356,173
75357,174
75358,173
75359,175
75360,175
75361,171
75362,169
75363,169
75364,170
75365,169
75366,167
75367,164
75368,164
75369,164
75370,165
75371,165
75372,163
75373,162
75374,163
75375,164
75376,167
75377,166
75378,164
75379,166
75380,165
75381,165
75382,166
75383,167
75384,167
75385,166
75386,167
75387,165
75388,166
75389,164
75390,164
75391,168
75392,167
75393,166
75394,164
75395,162
75396,162
75397,161
75398,161
75399,160
75400,160
75401,159
75402,162
75403,160
75404,162
75405,159
75406,159
75407,158
75408,156
75409,154
75410,154
75411,156
75412,158
75413,158
75414,157
75415,158
75416,159
75417,160
75418,158
75419,157
75420,157
75421,155
75422,156
75423,156
75424,153
75425,153
75426,152
75427,151
75428,147
75429,146
75430,147
75431,148
75432,149
75433,150
75434,149
75435,150
75436,151
75437,149
75438,147
75439,145
75440,144
75441,146
75442,147
75443,146
75444,146
75445,145
75446,144
75447,144
75448,140
75449,140
75450,140
75451,140
75452,140
75453,141
75454,142
75455,142
75456,144
75457,144
75458,142
75459,141
75460,139
75461,140
75462,139
75463,140
75464,139
75465,138
75466,137
75467,135
75468,134
75469,134
75470,134
75471,133
75472,131
75473,131
75474,132
75475,131
75476,130
75477,131
75478,132
75479,133
75480,137
75481,139
75482,139
75483,140
75484,140
75485,139
75486,139
75487,140
75488,140
75489,140
75490,139
75491,141
75492,140
75493,142
75494,142
75495,139
75496,140
75497,140
75498,139
75499,136
75500,136
75501,135
75502,135
75503,134
75504,135
75505,136
75506,133
75507,131
75508,130
75509,130
75510,129
75511,131
75512,130
75513,131
75514,131
75515,131
75516,129
75517,129
75518,130
75519,130
75520,131
75521,133
75522,135
75523,134
75524,135
75525,135
75526,135
75527,134
75528,136
75529,134
75530,136
75531,136
75532,137
75533,135
75534,135
75535,136
75536,134
75537,135
75538,134
75539,136
75540,137
75541,136
75542,137
75543,137
75544,136
75545,136
75546,135
75547,135
75548,137
75549,134
75550,134
75551,133
75552,137
75553,137
75554,138
75555,139
75556,140
75557,138
75558,137
75559,136
75560,136
75561,133
75562,132
75563,131
75564,132
75565,132
75566,132
75567,133
75568,131
75569,131
75570,131
75571,130
75572,127
75573,127
75574,127
75575,130
75576,128
75577,129
75578,128
75579,127
75580,129
75581,129
75582,129
75583,130
75584,129
75585,132
75586,133
75587,131
75588,131
75589,131
75590,132
75591,133
75592,133
75593,133
75594,135
75595,137
75596,136
75597,134
75598,135
75599,134
75600,135
75601,134
75602,133
75603,134
75604,131
75605,130
75606,132
75607,131
75608,131
75609,131
75610,134
75611,135
75612,134
75613,134
75614,133
75615,133
75616,132
75617,130
75618,131
75619,131
75620,130
75621,129
75622,129
75623,129
75624,129
75625,130
75626,130
75627,131
75628,130
75629,128
75630,128
75631,127
75632,127
75633,129
75634,131
75635,130
75636,132
75637,132
75638,133
75639,136
75640,134
75641,135
75642,137
75643,137
75644,138
75645,138
75646,138
75647,139
75648,141
75649,140
75650,139
75651,139
75652,140
75653,142
75654,141
75655,141
75656,143
75657,144
75658,147
75659,149
75660,148
75661,148
75662,152
75663,152
75664,153
75665,153
75666,152
75667,153
75668,153
75669,154
75670,154
75671,152
75672,149
75673,150
75674,151
75675,150
75676,149
75677,150
75678,150
75679,151
75680,150
75681,150
75682,152
75683,154
75684,153
75685,154
75686,152
75687,151
75688,151
75689,151
75690,149
75691,150
75692,150
75693,150
75694,153
75695,154
75696,156
75697,158
75698,158
75699,158
75700,159
75701,155
75702,156
75703,155
75704,155
75705,155
75706,159
75707,160
75708,159
75709,159
75710,160
75711,156
75712,157
75713,157
75714,156
75715,157
75716,158
75717,155
75718,152
75719,151
75720,152
75721,151
75722,151
75723,152
75724,152
75725,152
75726,151
75727,149
75728,153
75729,152
75730,152
75731,154
75732,154
75733,153
75734,153
75735,153
75736,154
75737,153
75738,153
75739,151
75740,152
75741,154
75742,155
75743,155
75744,155
75745,155
75746,155
75747,155
75748,155
75749,157
75750,158
75751,159
75752,157
75753,156
75754,154
75755,153
75756,155
75757,156
75758,157
75759,154
75760,153
75761,153
75762,149
75763,148
75764,148
75765,149
75766,149
75767,146
75768,146
75769,145
75770,146
75771,145
75772,145
75773,147
75774,146
75775,145
75776,143
75777,142
75778,140
75779,140
75780,141
75781,140
75782,140
75783,140
75784,142
75785,141
75786,142
75787,142
75788,143
75789,141
75790,142
75791,143
75792,143
75793,144
75794,144
75795,146
75796,147
75797,147
75798,146
75799,145
75800,146
75801,145
75802,145
75803,146
75804,146
75805,147
75806,147
75807,147
75808,147
75809,146
75810,144
75811,145
75812,145
75813,146
75814,146
75815,147
75816,149
75817,148
75818,149
75819,149
75820,149
75821,152
75822,153
75823,152
75824,154
75825,155
75826,154
75827,155
75828,155
75829,158
75830,156
75831,157
75832,157
75833,157
75834,157
75835,154
75836,153
75837,153
75838,152
75839,151
75840,151
75841,154
75842,152
75843,151
75844,151
75845,154
75846,154
75847,153
75848,155
75849,156
75850,157
75851,156
75852,155
75853,155
75854,155
75855,156
75856,154
75857,154
75858,155
75859,155
75860,153
75861,153
75862,153
75863,154
75864,153
75865,150
75866,149
75867,148
75868,146
75869,146
75870,146
75871,146
75872,147
75873,145
75874,142
75875,142
75876,143
75877,142
75878,146
75879,145
75880,144
75881,143
75882,143
75883,146
75884,147
75885,147
75886,148
75887,147
75888,146
75889,145
75890,145
75891,147
75892,149
75893,147
75894,147
75895,148
75896,147
75897,146
75898,146
75899,149
75900,149
75901,150
75902,151
75903,151
75904,155
75905,153
75906,155
75907,157
75908,156
75909,156
75910,154
75911,156
75912,155
75913,155
75914,153
75915,153
75916,153
75917,154
75918,156
75919,155
75920,154
75921,155
75922,156
75923,156
75924,156
75925,156
75926,155
75927,155
75928,154
75929,157
75930,158
75931,157
75932,159
75933,156
75934,156
75935,154
75936,154
75937,155
75938,157
75939,159
75940,161
75941,161
75942,163
75943,166
75944,166
75945,166
75946,166
75947,166
75948,166
75949,165
75950,163
75951,164
75952,164
75953,166
75954,168
75955,167
75956,165
75957,167
75958,167
75959,168
75960,170
75961,169
75962,170
75963,170
75964,172
75965,172
75966,171
75967,173
75968,172
75969,172
75970,172
75971,172
75972,173
75973,173
75974,173
75975,173
75976,174
75977,173
75978,175
75979,174
75980,174
75981,174
75982,174
75983,176
75984,177
75985,179
75986,180
75987,182
75988,186
75989,188
75990,188
75991,188
75992,187
75993,184
75994,186
75995,185
75996,185
75997,187
